Sentence Index,Ground Truth Labels,wnv645,dmr693,klr543,rvm681,mnf573,cbs154,xnq518,xlp113,rqv789,gnk487,nmx551,ckb257,vbr942,kdx409,ldw372,zvd607,kvh190,QPF823,shm302,gwn787,Dmc453,QKJ272,kpd426,HWP426,mzn741,rxq534,vjx192,qmf382,krw564,glq414,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29
76,1,4,4,4,4,4,5,5,4,3,4,3,4,4,4,3,4,4,5,4,5,4,4,4,4,3,4,4,4,4,4,fine job,fine job,perhaps unwittingly,fine job,fine job,a fine job,fine,fine job,does a fine job,fine job,does a fine job,fine job,fine job,fine job,serry does a fine job of capturing the climate of the times,fine,fine job,fine job,"""fine job""",does a fine job,fine job,"""does a fine job""","""fine job""",does a fine job of capturing the climate of the times,fine job,does a fine job,does a fine job,fine job,fine job
77,0,3,3,3,2,2,3,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,"for all its alleged youthful fire , xxx is no less subservient to bond 's tired formula of guns , girls and gadgets while brandishing a new action hero .","alleged youthful fire, no less subservient to tired formula",xxx is no less subservient to bond 's tired formula of guns,no less subservient,subservient,subservient,tired,subservient,"no less subservient, brandishing",subservient,-,subservient,no less subservient,tired formula,is no less subservient to bond 's tired formula,tired,tired formula of,no less subservient,"""no less subservient""","tired formula of guns , girls and gadgets",no less subservient,"""no less subservient""","""alleged youthful fire"", ""tired formula""",tired,,no less subservient to,action hero,tired formula,subservient to bond 's tired formula
78,1,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,3,3,4,"visually polished , a little funnier","it is a little more polished, funnier, and madcap",a little funnier,more,"little more visually polished , a little funnier , and a little more madcap",polished,"more visually polished , a little funnier","funnier, pollished","visually polished, funnier, madcap","funnier, pollished","a little more visually polished , a little funnier , and a little more madcap","cuddly, visually polished","more visually polished, a little funnier , and a little more madcap","visually polished, funnier","a little more visually polished , a little funnier , and a little more madcap","cuddly, polished, funnier, madcap","little more visually polished , a little funnier , a little more madcap","visually polished, a little funnier, and a little more madcap","""a little funnier""","a little more visually polished , a little funnier , and a little more madcap",visually polished,"""a little funnier""","""cuddly sequel"", ""hit"", ""more visually polished"", ""funnier""",cuddly sequel,"more visually polished, funnier","little more visually polished , a little funnier",a little funnier,visually polished,"polished, funnier"
79,0,1,1,2,2,1,2,2,2,2,1,3,2,2,3,2,2,2,1,1,1,2,1,1,3,2,2,2,2,1,1,now it 's just tired .,it's just tired,now it 's just tired .,tired,just tired,tired,tired,tired,tired,tired,-,,tired,tired,now it 's just tired .,tired,,tired,"""just tired""",now it 's just tired,it's just tired,"""just tired""","""just tired""",tired,tired,just tired,just tired,tired,tired
80,0,1,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,3,2,1,3,2,2,3,2,3,2,2,3,2,2,not so much a movie,not so much a movies as a picture book,not so much a movie as a picture book for the big screen .,not so much,not so much a movie,not so much a movie,not so much a movie,not so much a movie,picture book,not so much a movie,not so much,not so much a movie,not so much a movie,?,not so much a movie,not,picture book for the big screen,picture book for the big screen,"""not as much a movie""",picture book for the big screen,not so much a movie,"""picture book for the big screen""","""not so much a movie""",,not so much,not so much a movie,not so much a movie,not so much a movie,not so much a movie
81,0,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,2,3,1,1,2,1,1,1,2,2,2,1,1,2,boring or embarrassing,it 's difficult to say whether is more boring or embarrassing,it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw .,boring or embarrassing,"boring, embarrassing","boring, embarrassing ",more boring or embarrassing,"boring, embarising","boring, embarrassing","boring, embarising",-,boring embarrasing,boring or embarrassing,"boring, embarrassing",difficult to say,"boring, embarrassing",more boring or embarrassing,boring or embarrassing,"""more boring or embarrassing""",more boring or embarrassing -- i 'm prepared to call it a draw,boring,"""boring or embarrassing""","""more boring or embarrassing""",embarrassing,boring or embarrassing,is more boring or embarrassing,boring,embarrassing,"boring, embarrassing"
82,0,1,3,2,1,1,1,2,4,2,2,2,1,4,4,3,1,3,1,1,1,2,2,1,1,2,2,4,2,2,2,satisfying and predictable,satisfying and predicatble as fare,about as satisfying and predictable as the fare at your local drive through .,satisfying and predictable,predictable,predictable,predictable,predictable,satisfying and predictable,predictable,as satisfying,as the fare at your local drive through,"predictable, local drive through","satisfying, predictable",predictable,predicable,about as satisfying and predictable as the fare at your local drive through,predictable,"""fare at your local drive through""",satisfying and predictable,predictable,"""predictable""","""about as satisfying and predictable as the fare at your local drive through""",predictable,satisfying,satisfying and predictable as the fare at your local drive through,predictable,predictable,predictable
83,0,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,3,1,2,nothing more than a formulaic chase in the dark .,nothing more than a formulaic chase,the movie succumbs to being nothing more than a formulaic chase in the dark .,nothing more than a formulaic chase in the dark,"nothing more, formulaic ",formulaic chase,nothing more than a formulaic chase in the dar,succumbs,succumbs,succumbs,succumbs to being nothing more than,"nothing more, formulaic",nothing more than a formulaic chase,formulaic,nothing more than,"nothing, formulaic",chase in the dark,nothing more than a formulaic chase in the dark,"""formulaic chase in the dark""",nothing more than a formulaic chase in the dark,nothing more than,"""being nothing more than""","""nothing more than a formulaic chase in the dark""",,nothing,succumbs to being nothing more,chase in the dark,chase in the dark,formulaic chase in the dark
84,1,4,2,5,2,3,1,4,2,2,2,3,4,2,3,5,2,3,5,3,4,4,2,4,4,4,4,2,3,2,2,lo-fi as the special effects,indulge the force of humanity over hardware,as lo-fi as the special effects are,long forgotten,cobbled nemesis together,cobbled nemesis together,forgotten,indulge,as lo-fi as the special effects are,indulge,-,"indulge the force of humanity, george lucas has long forgotten",long forgotten,indulge,indulge the force of humanity over hardware,"force, humanity",,indulge the force of humanity over hardware,"""has long forgotten""",as lo-fi as the special effects are,force of humanity,"""in a way that george lucas has long forgotten""","""indulge"", ""in a way that george lucas has long forgotten""",,nemesis,indulge,as lo-fi as the special effects are,lo-fi,
85,1,4,3,3,4,4,4,4,4,4,4,3,3,2,2,4,2,4,4,3,4,4,1,2,5,4,4,2,4,2,3,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,imaginatively,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,imaginatively fans,imaginatively,imaginatively,imaginatively,,chronic cynicism and fear,,fans the embers of a dormant national grief,imaginatively,chronic cynicism and fear,imaginatively,imaginatively,"fans, curiosity","dormant national grief, chronic cynicism and fear",imaginatively fans,"""grief""",,fans the embers,"""imaginatively""","""imaginatively fans the embers""",imaginatively,chronic cynicism and fear,imaginatively,cynicism and fear,chronic cynicism and fear,imaginatevily
86,0,2,2,2,2,2,1,2,2,2,2,2,2,1,3,3,2,3,2,1,2,2,3,2,2,2,3,2,2,2,1,nothing here you have n't seen before,there 's nothing here you have n't seen before,if you 've seen more than half-a-dozen horror films,nothing here you have n't seen before,nothing here you have n't seen before,nothing here you haven't seen before,nothing here you have n't seen before,nothing here you havent seen before,nothing here you have n't seen before,nothing here you havent seen before,-,nothing here,nothing here,nothing here,nothing here you have n't seen before,nothing,nothing here you have n't seen before,there's nothing here you haven't seen before,"""nothing here you haven't seen before""",there 's nothing here you have n't seen before,nothing here you haven't seen before,"""nothing here you haven't seen before""","""nothing here you have n't seen before""",nothing here you have n't seen before .,nothing,there 's nothing here you have n't seen before,haven't seen before,nothing you haven't seen before,nothing here you haven't seen before
87,0,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,0,1,hire a real director and good writers,hire a real director and good writers please,george,for the next installment,hire a real director,hire a real director,hire a real director and good writers,hire a reald director and good actor,real director and good writers,hire a reald director and good actor,hire a real director and good writers for the next installment,"hire a real director, please",hire a real director and good writers for the next installment,hire a real director,hire a real director and good writers,"real, please",hire a real director and good writers for the next installment,hire a real director and good writers,"""hire a real director next time""","hire a real director and good writers for the next installment , please .",hire a real director,"""hire a real director""","""hire a real director and good writers""",,"for the next installment , please",hire a real director and good writers,hire a real director,hire a real director,hire a real director and good writers next time
88,0,1,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,2,drain all the film of its energy and needlessly strain credibility .,drain the film of its energy,all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .,drain all the film of its energy and needlessly strain credibility,"weigh down the plot, needlessly strain credibility",strain credibility,drain,weigh down the plot,drain all energy and needlessly strain credibility,weigh down the plot,"weigh down the plot so heavily, needlessly strain credibility","weigh down the plot, heavily, drain all the film",drain all the film of its energy,"needlessly strain, weigh down",drain all the film of its energy,"drain, strain","weight down the plot, drain all the film of its energy and needlessly strain credibility",dran all the film of its energy,"""drain all the film of its energy""",weigh down the plot,weigh down the plot,"""drain all the film of its energy""","""weigh down the plot so heavily"", ""drain all the film of its energy"", ""strain credibility""",drain all the film of its energy and needlessly strain credibility .,"drain, strain credibility",drain all the film of its energy and needlessly strain credibility,they drain all the film,weigh down the plot so heavily,"drain energy, strain credibility"
89,0,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,0,1,full of wrong choices,so full of wrong choices,it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time .,shake your head in disbelief,"full of wrong choices, shake your head in disbelief",full of wrong choices,full of wrong choices,wrong choices,full of wrong choices,wrong choices,full of wrong choices,"wrong choices, shake your head, disbelief",shake your head in disbelief,"wrong choices, disbelief, mangle",it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time .,"wrong, disbelief","full of wrong choices, shake your head in disbelief, worry, mangle",full of wrong choices,"""so full of wrong choices""",full of wrong choices,wrong choices,"""shake your head in disbelief""","""full of wrong choices"", ""shake your head in disbelief"", ""mangle""",mangle,"mangle, full of wrong, disbelief",so full of wrong choices,wrong choices,full of wrong choices,full of wrong
90,1,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,wisdom that comes with experience .,runs on equal parts of innocence and wisdom,the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .,equal parts of innocence and wisdom,"innocence, wisdom","innocence, wisdom",innocence and wisdom,"wisdom, innocense",innocence and wisdom,"wisdom, innocense",-,"wisdom, experience",innocence and wisdom,"innocence, wisdom",equal parts of innocence and wisdom,"innocence, wisdom",,equal parts of innocence and wisdom,"""parts of innocence and wisdom""",innocence and wisdom -- wisdom that comes with experience,wisdom,"""wisdom that comes with experience""","""the film runs on equal parts of innocence and wisdom  -- wisdom that comes with experience""",wisdom,innocence and wisdom,equal parts of innocence and wisdom,wisdom,wisdom,wisdom
91,1,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,4,5,4,5,5,4,4,5,5,4,5,drawn excellent performances from his cast .,thankfully understated and excellent performances,and he has drawn excellent performances from his cast .,excellent performances,excellent performances,excellent performances,excellent performances,excellent,excellent performances,excellent,"thankfully understated, excellent performances",excellent performances,excellent performances,"understated, excellent performances","thankfully understated, drawn excellent performances",excellent,"thankfully understated, excellent performances",excellent performances from his cast,"""thankfully understated""",excellent performances from his cast,excellent performances,"""thankfully understated""","""goyer 's screenplay and direction are thankfully understated"", ""excellent performances from his cast""",excellent performances,excellent,drawn excellent performances,excellent performances,excellent performances,excellent performance
92,1,4,3,4,3,4,5,4,3,3,3,4,4,4,4,5,4,4,4,4,4,5,4,5,4,3,4,4,4,3,4,"reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes .",reinforces the world 's remarkably varying human population and mindset,reinforces the often forgotten fact of the world 's remarkably varying human population and mindset,remarkably varying,"reinforces, fact","reinforces, fact",reinforces,reinforces,reinforces,reinforces,reinforces,"reinforces, remarkably, heal","reinforces, creative , natural and ancient antidotes",reinforces,reinforces the often forgotten fact of the world 's remarkably varying human population and mindset,"heal, remarkably, natural","reinforces the often forgotten fact, capacity to heal using","capacity to heal using creative, natural and ancient antidotes","""and its capacity to heal using creative""",reinforces the often forgotten fact,natural and ancient antidotes,"""reinforces the often forgotten fact""","""reinforces the often forgotten fact"", ""remarkably varying human population and mindset"", ""capacity to heal using creative , natural and ancient antidotes""",,"remarkably, creative",reinforces,using creative,reinforces,reinforces
93,0,2,3,2,1,1,1,1,4,2,2,2,2,2,3,3,4,2,2,1,2,2,3,1,4,2,2,2,2,2,2,abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists .,hectip soap,abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists .,abandons all pretense,waltzes off into a hectic soap,waltzes off,abandons,abandons,a hectic soap,abandons,-,abandons all pretense,artists,"abandons all pretense, waltzes off",abandons all pretense of creating historical context,"heavy breathing, abandons",abandons all pretense of creating historical context,abadons all pretense,"""between two artists""",abandons all pretense,abandons all pretense,"""a hectic soap""","""abandons all pretense"", ""waltzes off into a hectic soap"", ""heavy breathing between the two artists""",abandons,abandons,abandons all pretense,hectic soap,hectic soap,hectic soap
94,1,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,it is just about right .,at this level is just about right,it would fail and perhaps explode,just about right,just about right,just about right,it is just about right,just about rigth,just about right,just about rigth,it is just about right,just about right,just about right,"manic whimsy, just about right",it is just about right,"fail, manic, right","fail, manic whimsy",it is just about right,"""it is just about right""",it is just about right,it is just about right,"""just about right""","""if it tried to do anything more , it would fail "", ""at this level of manic whimsy , it is just about right""",just about right .,"would, just about right",is just about right,just about right,just about right,just about right
95,1,2,3,3,3,4,4,4,4,3,3,3,4,4,4,4,5,3,4,4,3,3,3,4,4,4,4,4,4,3,4,dedicated and good-hearted professionalism .,dedicated and good-hearted professionalism,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,scores a few points,scores a few points,scores a few points,scores a few points,scores a few points,dedicated and good-hearted professionalism,scores a few points,dedicated and good-hearted,"dedicated, good-hearted, professionalism",dedicated and good-hearted,"few points, good-hearted",scores a few points,"dedicated, good-hearted, prefessionalism",scores a few points,few points,"""scores a few points""",good-hearted professionalism,good-hearted professionalism,"""good-hearted professionalism""","""scores a few points"", ""good-hearted professionalism""",,"dedicated, good-hearted",dedicated and good-hearted professionalism,good-hearted professionalism,professionalism,"scores a few points, professionalism"
96,0,3,3,3,2,1,3,2,4,3,3,3,2,5,3,4,1,3,3,3,2,4,2,2,4,3,2,4,3,2,4,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,dubious divide where gay porn reaches for serius drama,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,reaches,ride the dubious divide,ride the dubious divide,drama,dubious,ride the dubious divide,dubious,-,dubibous divide,porn,serious drama,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,"divide serious, drama",,reaches serious drama,"""where gay porn reaches for serious drama""",ride the dubious divide,dubious,"""ride the dubious divide""","""dubious divide"", ""gay porn reaches for serious drama""",gay porn reaches for serious drama .,ride the dubious divide,dubious divide,where gay porn reaches serious drama,ride for dubious divide,gay porn
97,0,1,3,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,2,1,without a strong script and energetic acting,same sleeping-inducing effects as home videos,without a strong script and energetic acting,sleep-inducing effects,sleep-inducing effects,sleep-inducing effects,sleep-inducing effects,without a strong script,sleep-inducing effects,without a strong script,without a strong script and energetic acting,"without a strong script, sleep-inducing",sleep-inducing effects,sleep-inducing,"without a strong script and energetic acting, sleep-inducing effects","without, sleep-inducing","without a strong script and energetic acting, sleep-inducing effects as watching your neighbor 's home videos",sleep-inducing efgfects as watching your  neighbor's home videos,"""produce the same sleep-inducing effects""",sleep-inducing effects,sleep-inducing,"""without a strong script""","""without a strong script and energetic acting"", ""sleep-inducing effects""",sleep-inducing,"without, sleep-inducing",can produce the same sleep-inducing effects,sleep-inducing effects,without a strong script,without strong script and energetic action
98,0,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,does n't exactly favour the audience .,doesn't favor the audience,a frantic search for laughs,frantic search,does n't exactly favour the audience,doesn't exactly favour the audience,frantic search for laughs,frantic,does n't exactly favour the audience,frantic,does n't exactly favour,doesn't exactly favour the audience,hit-to-miss,frantic,"a frantic search for laughs, does n't exactly favour the audience",frantic,"frantic search for laughs, does n't exactly favour the audience",a frantic search,"""doesn't exactly favour the audience""",a frantic search for laughs,frantic search for laughs,"""doesn't exactly favor the audience""","""frantic search for laughs"", ""does n't exactly favour the audience""",frantic search for laughs,does n't exactly favour,frantic search for,hit-to-miss ration,doesn't favour the audience,doesn't exactly favour the audience
99,0,3,3,2,2,2,2,1,2,1,1,2,2,2,3,3,1,2,2,2,2,2,2,2,1,3,2,2,2,2,2,lazy bloodwork .,may enjoy the free ride,de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork .,lazy bloodwork,"enjoy the same free ride from critics, lazy bloodwork",enjoy the same free ride from critics,lazy bloodwork,free-ride from critics,lazy bloodwork,free-ride from critics,-,"lazy, free ride",lazy,"free ride, lazy",enjoy the same free ride from critics,"lazy, free ride",,same free ride from critics,"""lazy bloodwork""",de niro may enjoy the same free ride from critics,lazy bloodwork,"""may enjoy the same""","""de niro may enjoy the same free ride from critics"", ""lazy bloodwork""",lazy,lazy,lazy,lazy bloodwork,lazy bloodwork,free ride from critics
100,1,4,4,4,4,4,5,4,4,3,4,4,4,4,3,4,4,4,5,4,5,4,3,4,4,3,4,4,4,4,4,intelligent fiction,an intelligent fiction,an intelligent fiction about learning through cultural clash .,intelligent,about learning through,intelligent fiction,intelligent,intelligent,intelligent fiction,intelligent,-,intelligent,intelligent,intelligent,intelligent fiction,intelligent,,intelligent fiction,"""learning cultural clash""",an intelligent,intelligent fiction,"""intelligent fiction""","""intelligent fiction"", ""about learning""",intelligent,intelligent,an intelligent fiction,cultural clash,intellegent,intelligent
